dispnum,ord_incidnum,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,insidea,sidea,fatality,fatalpre,action,hostlev,revtype1,revtype2,version,incidnum
3557,3557007,BOS,346,28,5,1992,28,5,1992,1,0,-9,-9,17,4,1,0,5,3557007
3557,3557007,YUG,345,28,5,1992,28,5,1992,0,1,1,1,17,4,1,0,5,3557007
3557,3557008,BOS,346,25,8,1992,25,8,1992,0,0,-9,-9,0,1,0,0,5,3557008
3557,3557008,YUG,345,25,8,1992,25,8,1992,1,1,0,0,16,4,1,0,5,3557008
3557,3557009,BOS,346,15,12,1992,15,12,1992,0,0,-9,-9,0,1,0,0,5,3557009
3557,3557009,YUG,345,15,12,1992,15,12,1992,1,1,0,0,16,4,1,0,5,3557009
3557,3557010,BOS,346,17,1,1993,18,1,1993,0,0,-9,-9,17,4,1,0,5,3557010
3557,3557010,YUG,345,17,1,1993,18,1,1993,1,1,-9,-9,17,4,1,0,5,3557010
3557,3557011,BOS,346,25,1,1993,25,1,1993,0,0,0,0,0,1,0,0,5,3557011
3557,3557011,YUG,345,25,1,1993,25,1,1993,1,1,0,0,8,3,1,0,5,3557011
3561,3561001,GRG,372,13,6,1992,13,6,1992,0,0,3,12,17,4,2,0,5,3561001
3561,3561001,RUS,365,13,6,1992,13,6,1992,1,1,3,3,17,4,2,0,5,3561001
3561,3561002,GRG,372,18,6,1992,18,6,1992,0,0,3,-9,0,1,0,0,5,3561002
3561,3561002,RUS,365,18,6,1992,18,6,1992,1,1,2,0,16,4,2,0,5,3561002
3561,3561003,GRG,372,4,10,1992,4,10,1992,0,0,2,0,0,1,0,0,5,3561003
3561,3561003,RUS,365,4,10,1992,4,10,1992,1,1,2,0,1,2,2,0,5,3561003
3561,3561004,GRG,372,5,10,1992,5,10,1992,1,0,2,0,11,3,2,0,5,3561004
3561,3561004,RUS,365,5,10,1992,5,10,1992,0,1,2,0,0,1,0,0,5,3561004
3561,3561005,GRG,372,5,10,1992,5,10,1992,0,0,2,0,0,1,0,0,5,3561005
3561,3561005,RUS,365,5,10,1992,5,10,1992,1,1,2,0,7,3,2,0,5,3561005
3561,3561006,GRG,372,4,12,1992,4,12,1992,0,0,2,0,0,1,0,0,5,3561006
3561,3561006,RUS,365,4,12,1992,4,12,1992,1,1,2,0,16,4,2,0,5,3561006
3561,3561007,GRG,372,6,12,1992,6,12,1992,1,0,2,0,17,4,2,0,5,3561007
3561,3561007,RUS,365,6,12,1992,6,12,1992,0,1,1,-9,17,4,2,0,5,3561007
3561,3561008,GRG,372,14,12,1992,14,12,1992,1,0,2,0,16,4,2,0,5,3561008
3561,3561008,RUS,365,14,12,1992,14,12,1992,0,1,3,-9,0,1,0,0,5,3561008
3561,3561009,GRG,372,17,12,1992,17,12,1992,0,0,2,0,0,1,0,0,5,3561009
3561,3561009,RUS,365,17,12,1992,17,12,1992,1,1,2,0,8,3,2,0,5,3561009
3561,3561010,GRG,372,20,2,1993,20,2,1993,0,0,-9,-9,0,1,0,0,5,3561010
3561,3561010,RUS,365,20,2,1993,20,2,1993,1,1,-9,-9,16,4,2,1,5,3561010
3561,3561011,GRG,372,20,2,1993,20,2,1993,1,0,-9,-9,16,4,1,0,5,3561011
3561,3561011,RUS,365,20,2,1993,20,2,1993,0,1,-9,-9,0,1,0,0,5,3561011
3561,3561012,GRG,372,13,3,1993,13,3,1993,0,0,-9,-9,0,1,0,0,5,3561012
3561,3561012,RUS,365,13,3,1993,13,3,1993,1,1,-9,-9,16,4,2,0,5,3561012
3561,3561013,GRG,372,16,3,1993,18,3,1993,1,0,0,0,10,3,2,1,5,3561013
3561,3561013,RUS,365,16,3,1993,18,3,1993,0,1,0,0,0,1,0,0,5,3561013
3561,3561014,GRG,372,16,3,1993,16,3,1993,0,0,0,0,0,1,0,0,5,3561014
3561,3561014,RUS,365,16,3,1993,16,3,1993,1,1,0,0,8,3,2,0,5,3561014
3561,3561015,GRG,372,16,3,1993,16,3,1993,0,0,-9,-9,0,1,0,0,5,3561015
3561,3561015,RUS,365,16,3,1993,16,3,1993,1,1,-9,-9,16,4,2,0,5,3561015
3561,3561016,GRG,372,17,3,1993,17,3,1993,1,0,-9,-9,16,4,2,1,5,3561016
